--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
83288;21/11/1969;1200;0;;17.8;;;;;
83288;22/11/1969;0000;;36.8;;11.1;5.5;40;0.666667;
83288;22/11/1969;1200;0;;24.1;;;;;
83288;23/11/1969;0000;;37.8;;10.5;11.6;34.25;1.666667;
83288;23/11/1969;1200;0;;18.4;;;;;
83288;24/11/1969;0000;;35.7;;6.3;14.4;52.5;4.333333;
83288;24/11/1969;1200;0;;23.2;;;;;
83288;25/11/1969;0000;;31.1;;8.3;10.8;62;2.666667;
83288;25/11/1969;1200;4;;20.5;;;;;
83288;26/11/1969;0000;;34;;3.4;7.3;53.75;2;
83288;26/11/1969;1200;0;;22.2;;;;;
83288;27/11/1969;0000;;34;;7.8;7.8;69.75;2.666667;
83288;27/11/1969;1200;5.2;;20.8;;;;;
83288;28/11/1969;0000;;34.7;;9.1;4.9;67.75;0.666667;
83288;28/11/1969;1200;2.4;;20.8;;;;;
83288;29/11/1969;0000;;33.9;;7.8;4.9;71.25;0.333333;
83288;29/11/1969;1200;0;;21.8;;;;;
83288;30/11/1969;0000;;31.5;;6.9;4.5;80.25;0.666667;
83288;30/11/1969;1200;15.4;;21.6;;;;;
83288;01/12/1969;0000;;29.6;;2.3;3.1;77.75;1.666667;
83288;01/12/1969;1200;2.5;;21;;;;;
83288;02/12/1969;0000;;31;;2.7;3.8;79.75;2.333333;
83288;02/12/1969;1200;7.9;;21.7;;;;;
83288;03/12/1969;0000;;24.8;;0;4.2;89.25;0.666667;
83288;03/12/1969;1200;11;;20.1;;;;;
83288;04/12/1969;0000;;25;;0.5;0.2;86.5;1.333333;
83288;04/12/1969;1200;42.4;;19.4;;;;;
83288;05/12/1969;0000;;23.2;;0;0.1;93.75;0;
83288;05/12/1969;1200;17.4;;20;;;;;
83288;06/12/1969;0000;;24;;0.3;0.7;92.75;2;
83288;06/12/1969;1200;1.7;;19.9;;;;;
83288;07/12/1969;0000;;28.4;;0.8;0.9;85.5;0;
83288;07/12/1969;1200;2.6;;19.4;;;;;
83288;08/12/1969;0000;;28.8;;4;1.9;84.5;1.666667;
83288;08/12/1969;1200;16.4;;19.6;;;;;
83288;09/12/1969;0000;;30.1;;5.8;2.2;74.25;2;
83288;09/12/1969;1200;4.2;;20.2;;;;;
83288;10/12/1969;0000;;32;;8.8;3.1;71.25;0.666667;
83288;10/12/1969;1200;0;;19.5;;;;;
83288;11/12/1969;0000;;32.1;;1;3;65.25;0.333333;
83288;11/12/1969;1200;0;;18.7;;;;;
83288;12/12/1969;0000;;33.4;;11.2;4.9;47.25;2.666667;
83288;12/12/1969;1200;0;;19.9;;;;;
83288;13/12/1969;0000;;33.8;;7.8;5.3;66.25;0.666667;
83288;13/12/1969;1200;0;;22.3;;;;;
83288;14/12/1969;0000;;33.1;;8.7;5;68.25;0.333333;
83288;14/12/1969;1200;0;;20.5;;;;;
83288;15/12/1969;0000;;28.8;;3;3.8;76.75;2.333333;
83288;15/12/1969;1200;0;;21.7;;;;;
83288;16/12/1969;0000;;30.8;;4.2;3.4;80.25;0;
83288;16/12/1969;1200;0;;21.8;;;;;
83288;17/12/1969;0000;;25.5;;0;2.6;90.25;0;
83288;17/12/1969;1200;65.6;;20.8;;;;;
83288;18/12/1969;0000;;21.8;;0;2;91;2.666667;
83288;18/12/1969;1200;17.8;;18.8;;;;;
83288;19/12/1969;0000;;25.8;;0.7;0.3;89;0.333333;
83288;19/12/1969;1200;16.3;;19.1;;;;;
83288;20/12/1969;0000;;28.8;;6.6;1.2;80;0.666667;
83288;20/12/1969;1200;2.6;;19.8;;;;;
83288;21/12/1969;0000;;30.4;;11.9;4.7;72.5;0.666667;
83288;21/12/1969;1200;0.6;;20.5;;;;;
83288;22/12/1969;0000;;30.7;;7.1;0.9;76.5;0.666667;
83288;22/12/1969;1200;0;;19.7;;;;;
83288;23/12/1969;0000;;31.2;;9.7;2.4;72.75;1.666667;
83288;23/12/1969;1200;12.6;;21.8;;;;;
83288;24/12/1969;0000;;31.2;;9;3.1;73.25;0;
83288;24/12/1969;1200;0;;21.6;;;;;
83288;25/12/1969;0000;;30.2;;4.2;2.9;81.75;0.333333;
83288;25/12/1969;1200;0.7;;21;;;;;
83288;26/12/1969;0000;;23.1;;0;1.9;94.75;0;
83288;26/12/1969;1200;23.7;;20.6;;;;;
83288;27/12/1969;0000;;23;;0;0.3;88.75;0.666667;
83288;27/12/1969;1200;40.2;;18.3;;;;;
83288;28/12/1969;0000;;21.8;;0;0.7;92;0.333333;
83288;28/12/1969;1200;51.9;;19.2;;;;;
83288;29/12/1969;0000;;28.1;;5.8;0.6;81.5;1;
83288;29/12/1969;1200;1.5;;19.3;;;;;
83288;30/12/1969;0000;;29.9;;6.3;3.4;70.5;3.666667;
83288;30/12/1969;1200;0;;20.2;;;;;
83288;31/12/1969;0000;;31.7;;9.6;2.2;66.25;0.666667;
83288;31/12/1969;1200;11.2;;19.5;;;;;
83288;01/01/1970;0000;;31.9;;11.4;3.5;74.25;2.666667;
83288;01/01/1970;1200;0;;19.9;;;;;
83288;02/01/1970;0000;;29.1;;12.4;3.4;70.5;1.333333;
83288;02/01/1970;1200;14.6;;19.3;;;;;
83288;03/01/1970;0000;;31;;12.3;4;65;0.666667;
83288;03/01/1970;1200;0;;18.6;;;;;
83288;04/01/1970;0000;;31.7;;11.6;4.5;71;0.333333;
83288;04/01/1970;1200;0;;19.8;;;;;
83288;05/01/1970;0000;;32.6;;12;3.5;69;0;
83288;05/01/1970;1200;0;;19.7;;;;;
83288;06/01/1970;0000;;32.4;;10.2;5.2;70.25;1.333333;
83288;06/01/1970;1200;0;;19.2;;;;;
83288;07/01/1970;0000;;33.5;;8.9;4.5;72;0.666667;
83288;07/01/1970;1200;0;;21.6;;;;;
83288;08/01/1970;0000;;33;;9.9;3;72;1.666667;
83288;08/01/1970;1200;0.8;;19.9;;;;;
83288;09/01/1970;0000;;34;;12.1;4.2;66;0.333333;
83288;09/01/1970;1200;0;;20.8;;;;;
83288;10/01/1970;0000;;34.6;;10.9;4.2;68.25;0.333333;
83288;10/01/1970;1200;0;;20.5;;;;;
83288;11/01/1970;0000;;30.6;;4.2;5.2;75.5;0.666667;
83288;11/01/1970;1200;0;;21.5;;;;;
83288;12/01/1970;0000;;27.4;;1.2;2.7;88.5;1;
83288;12/01/1970;1200;10.4;;20.8;;;;;
83288;13/01/1970;0000;;27;;1.5;1.6;86;0.333333;
83288;13/01/1970;1200;1.4;;21.3;;;;;
83288;14/01/1970;0000;;26;;0;0.9;89.25;1;
83288;14/01/1970;1200;10.2;;21.8;;;;;
83288;15/01/1970;0000;;28.2;;5;1.3;83.75;0.666667;
83288;15/01/1970;1200;35.9;;19.7;;;;;
83288;16/01/1970;0000;;31.9;;10.4;1.8;68.25;1.666667;
83288;16/01/1970;1200;0;;20;;;;;
83288;17/01/1970;0000;;31.2;;8.6;3.9;73.5;1;
83288;17/01/1970;1200;0;;19.3;;;;;
83288;18/01/1970;0000;;31.4;;10.7;3;75.5;0;
83288;18/01/1970;1200;0;;19.1;;;;;
83288;19/01/1970;0000;;31;;7.3;3.4;74.75;0.666667;
83288;19/01/1970;1200;0.5;;19.4;;;;;
83288;20/01/1970;0000;;31.3;;4.7;2.8;70.25;0.333333;
83288;20/01/1970;1200;0;;20.1;;;;;
83288;21/01/1970;0000;;27.8;;4.2;3.1;91.75;1.333333;
83288;21/01/1970;1200;43.2;;20;;;;;
83288;22/01/1970;0000;;27.5;;4.6;1.5;86.75;2;
83288;22/01/1970;1200;2.3;;20.8;;;;;
83288;23/01/1970;0000;;25.5;;0;1.5;95;1;
83288;23/01/1970;1200;6.2;;21;;;;;
83288;24/01/1970;0000;;26;;0.4;0.6;87.5;2.333333;
83288;24/01/1970;1200;42.7;;19.7;;;;;
83288;25/01/1970;0000;;28;;5;1.7;85.25;0;
83288;25/01/1970;1200;0;;20.5;;;;;
83288;26/01/1970;0000;;24.7;;10.3;1.6;92;0.333333;
83288;26/01/1970;1200;5.9;;20;;;;;
83288;27/01/1970;0000;;30;;5.8;1.3;85.5;0;
83288;27/01/1970;1200;4.2;;20.8;;;;;
83288;28/01/1970;0000;;30.3;;6.5;1.7;88.75;1.333333;
83288;28/01/1970;1200;2.6;;21.2;;;;;
83288;29/01/1970;0000;;28.2;;1.6;1.2;87;0;
83288;29/01/1970;1200;11.9;;21.7;;;;;
83288;30/01/1970;0000;;31.4;;11.5;1.7;74.5;1;
83288;30/01/1970;1200;0;;20.9;;;;;
83288;31/01/1970;0000;;31.7;;11.2;3.8;73.75;0.333333;
83288;31/01/1970;1200;0;;19.4;;;;;
83288;01/02/1970;0000;;31.2;;10.3;3.3;64.75;1;
83288;01/02/1970;1200;0;;18.8;;;;;
83288;02/02/1970;0000;;30.6;;10.3;4.3;70;0.666667;
83288;02/02/1970;1200;0;;20.5;;;;;
83288;03/02/1970;0000;;30.2;;10.5;4.3;75.75;1.333333;
83288;03/02/1970;1200;0;;23;;;;;
83288;04/02/1970;0000;;31.4;;7.2;3.4;72.25;1.333333;
83288;04/02/1970;1200;2.2;;18;;;;;
83288;05/02/1970;0000;;29.9;;8.1;3.4;72.5;0.333333;
83288;05/02/1970;1200;0;;21.2;;;;;
83288;06/02/1970;0000;;29.1;;0.5;2.7;72.5;0;
83288;06/02/1970;1200;0;;20.1;;;;;
83288;07/02/1970;0000;;29.2;;6.9;3.3;69.5;1.333333;
83288;07/02/1970;1200;0;;19.9;;;;;
83288;08/02/1970;0000;;27.8;;1.3;3.8;79;1.333333;
83288;08/02/1970;1200;0;;20.8;;;;;
