--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
82976;19/12/1975;0000;;33.2;;9.7;10.3;58.5;1.766667;
82976;19/12/1975;1200;0;;21.2;;;;;
82976;20/12/1975;0000;;33;;10.6;8;53;2.233333;
82976;20/12/1975;1200;0;;20.2;;;;;
82976;21/12/1975;0000;;34.2;;10;7.8;50.5;2.566667;
82976;21/12/1975;1200;0;;19.8;;;;;
82976;22/12/1975;0000;;34.6;;9.9;9;50.25;3.366667;
82976;22/12/1975;1200;0;;19.2;;;;;
82976;23/12/1975;0000;;27.2;;2.5;11.4;83.25;2.466667;
82976;23/12/1975;1200;0;;20.8;;;;;
82976;24/12/1975;0000;;29.2;;3.3;2.9;84.75;2.166667;
82976;24/12/1975;1200;16.5;;20.4;;;;;
82976;25/12/1975;0000;;28.2;;1.9;1.7;88;1;
82976;25/12/1975;1200;20.1;;20.2;;;;;
82976;26/12/1975;0000;;32;;10.8;2.5;66.75;2.166667;
82976;26/12/1975;1200;2.5;;21.2;;;;;
82976;27/12/1975;0000;;32.6;;10.9;5.9;63.25;1.233333;
82976;27/12/1975;1200;0;;20.2;;;;;
82976;28/12/1975;0000;;32.2;;9.9;5.5;66.25;2.9;
82976;28/12/1975;1200;0;;19.6;;;;;
82976;29/12/1975;0000;;31;;5.4;5;55.25;2.833333;
82976;29/12/1975;1200;0;;20.7;;;;;
82976;30/12/1975;0000;;32;;6;8.3;65;2.066667;
82976;30/12/1975;1200;0;;20;;;;;
82976;31/12/1975;0000;;32.6;;0.1;6.7;74.25;2.2;
82976;31/12/1975;1200;0;;20.2;;;;;
82976;01/01/1976;0000;;30.8;;5.2;3.3;74.75;3.1;
82976;01/01/1976;1200;0.6;;20.8;;;;;
82976;02/01/1976;0000;;30;;5.1;4.6;72.5;3.466667;
82976;02/01/1976;1200;2.8;;20.4;;;;;
82976;03/01/1976;0000;;33.2;;11.1;6.7;57;3.066667;
82976;03/01/1976;1200;0;;18.4;;;;;
82976;04/01/1976;0000;;33.8;;11.1;12.3;50.25;2.6;
